book_id,title,authors,average_rating,ratings_count,original_publication_year,language_code
80,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",4.28,738757,1946.0,eng
81,The Glass Castle,Jeannette Walls,4.24,621099,2005.0,eng
82,Into the Wild,Jon Krakauer,3.94,647684,1996.0,eng
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",3.81,637412,1859.0,eng
84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,3.96,447833,1990.0,spa
85,The Giving Tree,Shel Silverstein,4.38,702332,1964.0,eng
86,A Time to Kill,John Grisham,4.03,597775,1989.0,eng
87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",4.3,691231,1958.0,eng
88,Paper Towns,John Green,3.88,461311,2008.0,en-US
89,The Princess Bride ,William Goldman,4.25,628637,1973.0,en-US
90,The Outsiders,S.E. Hinton,4.06,659248,1967.0,en-US
91,"The Maze Runner (Maze Runner, #1)",James Dashner,4.02,719925,2009.0,eng
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",3.93,524191,2005.0,en-US
93,The Secret Garden,Frances Hodgson Burnett,4.12,639357,1911.0,eng
94,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",4.04,490565,1967.0,eng
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",4.06,590014,1891.0,eng
96,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.88,387290,2012.0,eng
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",3.98,618973,1897.0,eng
98,"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",4.22,563994,2006.0,eng
99,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.87,552059,2011.0,eng
100,The Poisonwood Bible,Barbara Kingsolver,4.02,546502,1998.0,eng
101,Me Talk Pretty One Day,David Sedaris,3.97,495736,2000.0,eng
102,Where the Wild Things Are,Maurice Sendak,4.22,620618,1963.0,eng
103,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",4.21,555822,1844.0,eng
104,The Road,Cormac McCarthy,3.95,504793,2006.0,eng
105,"Allegiant (Divergent, #3)",Veronica Roth,3.63,463257,2013.0,eng
106,Bossypants,Tina Fey,3.94,506250,2011.0,eng
107,A Walk to Remember,Nicholas Sparks,4.15,546948,1999.0,en-US
108,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.61,543658,2000.0,eng
109,Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",4.14,513407,1862.0,eng
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.4,523303,1998.0,eng
111,The Memory Keeper's Daughter,Kim Edwards,3.64,501430,2005.0,eng
112,"Me Before You (Me Before You, #1)",Jojo Moyes,4.27,587647,2012.0,eng
113,Catch-22,Joseph Heller,3.98,563265,1961.0,en-US
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",4.06,556518,1997.0,eng
115,Middlesex,Jeffrey Eugenides,3.98,488243,2002.0,en-US
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",3.89,555359,1876.0,eng
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,4.04,615907,1962.0,en-US
118,The Joy Luck Club,Amy Tan,3.9,515090,1989.0,eng
119,The Handmaid's Tale,Margaret Atwood,4.06,607889,1985.0,eng
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.75,525706,2001.0,eng
121,Lolita,"Vladimir Nabokov, Craig Raine",3.88,469836,1955.0,eng
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",3.52,506900,1995.0,eng
123,"The Firm (Penguin Readers, Level 5)",John Grisham,3.99,488269,1991.0,eng
124,Room,Emma Donoghue,4.03,511360,2010.0,eng
125,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",4.0,515820,1600.0,eng
126,Dune (Dune Chronicles #1),Frank Herbert,4.19,485032,1965.0,eng
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.92,490504,2000.0,eng
128,Steve Jobs,Walter Isaacson,4.09,560715,2011.0,eng
129,One Flew Over the Cuckoo's Nest,Ken Kesey,4.18,491642,1962.0,eng
130,The Old Man and the Sea,Ernest Hemingway,3.73,520630,1952.0,eng
131,The Grapes of Wrath,John Steinbeck,3.92,322321,1939.0,eng
133,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.23,502247,1908.0,eng
134,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.34,593173,2009.0,en-US
135,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,469022,2000.0,eng
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.79,465676,1996.0,en-US
137,"Outlander (Outlander, #1)",Diana Gabaldon,4.2,515547,1991.0,eng
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",3.37,509883,1850.0,eng
139,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,3.89,613674,2011.0,en-US
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",4.2,443951,2007.0,en-US
141,The Martian,Andy Weir,4.39,423344,2012.0,eng
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,4.29,462517,1989.0,eng
143,All the Light We Cannot See,Anthony Doerr,4.31,470001,2014.0,eng
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.4,487775,2010.0,eng
145,Deception Point,Dan Brown,3.67,455610,2001.0,eng
146,The Goldfinch,Donna Tartt,3.87,396756,2013.0,eng
147,Thirteen Reasons Why,Jay Asher,4.02,463783,2007.0,eng
148,Girl with a Pearl Earring,Tracy Chevalier,3.85,467577,1999.0,eng
149,"If I Stay (If I Stay, #1)",Gayle Forman,3.96,503527,2009.0,en-US
150,The Red Tent,Anita Diamant,4.16,424981,1997.0,en-US
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.23,514932,2006.0,eng
152,Dear John,Nicholas Sparks,4.01,441062,2006.0,en-US
153,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.21,541117,2008.0,eng
154,Macbeth,William Shakespeare,3.88,496018,1606.0,eng
155,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.42,480446,1954.0,en-US
156,"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,3.83,403601,2004.0,eng
157,Green Eggs and Ham,"Dr. Seuss, לאה נאור",4.29,457475,1960.0,en-US
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",4.1,453959,1964.0,eng
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.39,508214,2008.0,eng
160,Great Expectations,Charles Dickens,3.75,459247,1860.0,eng
161,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.51,463959,1955.0,en-US
162,The Stranger,"Albert Camus, Matthew    Ward",3.96,420600,1942.0,eng
163,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.35,271576,2010.0,eng
164,Eleanor & Park,Rainbow Rowell,4.11,514312,2013.0,eng
165,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.1,428186,2005.0,en-US
166,"Matched (Matched, #1)",Ally Condie,3.68,511815,2010.0,eng
167,"American Gods (American Gods, #1)",Neil Gaiman,4.11,378019,2001.0,eng
168,The Stand,"Stephen King, Bernie Wrightson",4.34,438832,1978.0,en-US
169,The Last Song,Nicholas Sparks,4.14,424637,2008.0,en-GB
170,Digital Fortress,Dan Brown,3.6,423019,1998.0,en-GB
171,Emma,"Jane Austen, Fiona Stafford",3.99,459826,1815.0,eng
172,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",4.02,297472,1877.0,eng
173,A Clockwork Orange,Anthony Burgess,3.98,431195,1962.0,eng
174,The Shack,William Paul Young,3.74,419539,2007.0,eng
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.5,397500,2009.0,eng
176,It,Stephen King,4.18,292592,1986.0,en-US
177,Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",4.18,380903,1866.0,eng
178,The Bell Jar,Sylvia Plath,3.98,401605,1963.0,en-US
179,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.07,392103,1996.0,eng
180,Siddhartha,"Hermann Hesse, Hilda Rosner",3.99,372099,1922.0,eng
181,In Cold Blood,Truman Capote,4.05,381652,1965.0,eng
182,"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",3.76,436093,2009.0,eng
183,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.33,490890,2010.0,eng
184,Matilda,"Roald Dahl, Quentin Blake",4.29,440743,1988.0,eng
185,The Night Circus,Erin Morgenstern,4.03,429543,2011.0,eng
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.04,381080,2001.0,eng
187,"Uglies (Uglies, #1)",Scott Westerfeld,3.86,449073,2005.0,eng
188,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.31,365954,2011.0,eng
189,"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,4.47,389054,1955.0,eng
190,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,3.96,379872,2012.0,eng
191,Watchmen,"Alan Moore, Dave Gibbons, John Higgins",4.35,398018,1987.0,en-US
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.55,400101,2007.0,eng
193,Outliers: The Story of Success,Malcolm Gladwell,4.11,353011,2008.0,en-US
194,"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",3.46,358050,1851.0,eng
195,The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",4.12,393626,2008.0,eng
196,Fight Club,Chuck Palahniuk,4.2,365349,1996.0,eng
197,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.96,420764,2001.0,en-US
198,The Color Purple,Alice Walker,4.17,376766,1982.0,eng
199,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.12,367304,2005.0,eng
200,And Then There Were None,Agatha Christie,4.23,408983,1939.0,eng
201,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.66,369428,2009.0,eng
202,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,4.0,448166,2009.0,en-US
203,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.15,418309,2011.0,eng
205,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,3.97,372566,1976.0,eng
206,"The Selection (The Selection, #1)",Kiera Cass,4.15,505340,2012.0,en-US
207,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.03,391007,1994.0,en-US
208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.04,377249,2010.0,eng
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,4.14,351107,1988.0,eng
210,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.14,248283,2007.0,en-US
211,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.89,348196,2005.0,en-US
212,Atonement,Ian McEwan,3.88,347006,2001.0,eng
213,The Metamorphosis,"Franz Kafka, Stanley Corngold",3.78,364933,1915.0,eng
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.33,446668,2007.0,eng
215,Ready Player One,Ernest Cline,4.31,349423,2011.0,eng
216,The Art of Racing in the Rain,Garth Stein,4.19,327409,2006.0,eng
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn",3.98,309385,2003.0,eng
218,"Bared to You (Crossfire, #1)",Sylvia Day,4.19,222678,2012.0,eng
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",4.24,376385,1956.0,eng
221,"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,4.08,311543,1995.0,eng
222,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,3.98,327122,1980.0,eng
223,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.82,386923,2001.0,eng
224,"Fallen (Fallen, #1)",Lauren Kate,3.74,395296,2009.0,en-US
225,East of Eden,John Steinbeck,4.35,320919,1952.0,eng
226,Dark Places,Gillian Flynn,3.92,333452,2009.0,eng
227,The Client,John Grisham,3.97,320083,1993.0,eng
228,"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus",3.4,323762,2002.0,eng
229,Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner",4.06,340920,1865.0,eng
230,Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",4.13,365425,1817.0,eng
231,Sarah's Key,Tatiana de Rosnay,4.14,312444,2007.0,eng
232,"The Gunslinger (The Dark Tower, #1)",Stephen King,3.99,332494,1982.0,en-US
233,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman",3.89,283806,1985.0,eng
234,Speak,Laurie Halse Anderson,4.0,360156,1999.0,eng
235,The Husband's Secret,Liane Moriarty,3.92,232106,2013.0,eng
236,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.11,291258,1997.0,en-US
238,Running with Scissors,Augusten Burroughs,3.7,293878,2002.0,en-US
239,World War Z: An Oral History of the Zombie War,Max Brooks,4.01,312969,2006.0,en-US
240,"Inferno (Robert Langdon, #4)",Dan Brown,3.8,287533,2013.0,eng
241,Number the Stars,Lois Lowry,4.11,333638,1989.0,eng
242,"Along Came a Spider (Alex Cross, #1)",James Patterson,4.08,311499,1993.0,eng
243,Misery,Stephen King,4.11,334647,1987.0,en-GB
244,Sharp Objects,Gillian Flynn,3.92,207889,2006.0,en-US
245,Bridge to Terabithia,Katherine Paterson,3.98,337644,1977.0,eng
246,"Marked (House of Night, #1)","P.C. Cast, Kristin Cast",3.79,360044,2007.0,en-US
247,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.05,314700,1989.0,en-US
248,A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",3.94,334241,1595.0,eng
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.97,294726,2005.0,en-US
250,Wonder,R.J. Palacio,4.43,228538,2012.0,eng
251,The Cat in the Hat,Dr. Seuss,4.15,314016,1957.0,eng
252,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.15,427663,2012.0,eng
253,"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling",3.83,297712,2013.0,en-US
254,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.78,356625,2009.0,eng
255,Atlas Shrugged,"Ayn Rand, Leonard Peikoff",3.68,283295,1957.0,eng
256,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin",3.64,283516,2006.0,en-US
257,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",4.03,343252,1865.0,eng
258,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves",4.24,263685,2001.0,eng
259,"The Scorch Trials (Maze Runner, #2)",James Dashner,3.93,305643,2010.0,eng
260,How to Win Friends and Influence People,Dale Carnegie,4.13,282623,1936.0,eng
261,Under the Tuscan Sun,Frances Mayes,3.72,279264,1996.0,eng
262,Big Little Lies,Liane Moriarty,4.2,306186,2014.0,eng
263,Ella Enchanted,Gail Carson Levine,3.97,339117,1997.0,eng
264,The Sun Also Rises,Ernest Hemingway,3.83,284988,1926.0,en-US
265,A Tree Grows in Brooklyn,Betty  Smith,4.24,291909,1943.0,eng
266,"Kiss the Girls (Alex Cross, #2)",James Patterson,3.93,274639,1995.0,eng
267,The Nightingale,Kristin Hannah,4.54,253606,2015.0,eng
268,Never Let Me Go,Kazuo Ishiguro,3.8,294123,2005.0,eng
269,P.S. I Love You,Cecelia Ahern,4.01,262921,2003.0,en-US
270,Rebecca,"Daphne du Maurier, Sally Beauman",4.2,177384,1938.0,en-US
271,Flowers for Algernon,Daniel Keyes,4.07,313044,1966.0,en-US
272,Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",3.94,263199,1989.0,en-US
273,Snow Flower and the Secret Fan,Lisa See,4.05,280475,2005.0,eng
274,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",4.36,256480,1969.0,eng
275,An Abundance of Katherines,John Green,3.63,312754,2006.0,eng
276,Foundation (Foundation #1),Isaac Asimov,4.13,279688,1951.0,eng
277,The Ocean at the End of the Lane,Neil Gaiman,3.99,293844,2013.0,eng
278,A Light in the Attic,Shel Silverstein,4.34,297861,1981.0,eng
279,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)","John Tiffany, Jack Thorne, J.K. Rowling",3.75,270603,2016.0,eng
280,"Delirium (Delirium, #1)",Lauren Oliver,3.99,256975,2011.0,eng
281,The Pelican Brief,John Grisham,3.95,288376,1992.0,eng
282,Coraline,Neil Gaiman,4.03,316379,2002.0,eng
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",4.25,298304,1990.0,en-US
284,On the Road,Jack Kerouac,3.64,246602,1955.0,eng
285,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,4.01,251703,2013.0,eng
286,The Lucky One,Nicholas Sparks,4.1,267166,2008.0,en-US
287,The Fountainhead,"Ayn Rand, Leonard Peikoff",3.85,244545,1943.0,eng
289,"Watership Down (Watership Down, #1)",Richard Adams,4.05,292426,1972.0,eng
290,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.84,290674,2011.0,eng
291,Cutting for Stone,Abraham Verghese,4.28,258319,2009.0,eng
292,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes",4.08,306492,1951.0,eng
293,Treasure Island,Robert Louis Stevenson,3.82,268012,1882.0,eng
294,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.44,299980,2011.0,eng
295,11/22/63,Stephen King,4.29,258464,2011.0,eng
296,The Very Hungry Caterpillar Board Book,Eric Carle,4.29,296952,1969.0,eng
297,Cat's Cradle,Kurt Vonnegut Jr.,4.18,238940,1963.0,eng
298,The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",3.87,276076,1895.0,eng
299,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent",4.01,228371,2010.0,eng
300,The Boy in the Striped Pajamas,John Boyne,4.1,285692,2006.0,eng
301,Heart of Darkness,Joseph Conrad,3.42,255576,1899.0,eng
302,Safe Haven,Nicholas Sparks,4.19,255531,2010.0,eng
303,"The Secret (The Secret, #1)",Rhonda Byrne,3.62,241537,2006.0,eng
304,I Know This Much Is True,Wally Lamb,4.17,246917,1998.0,eng
305,Pet Sematary,Stephen King,3.91,256383,1983.0,eng
306,She's Come Undone,Wally Lamb,3.84,259576,1992.0,en-US
307,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.57,245686,2011.0,eng
308,Can You Keep a Secret?,Sophie Kinsella,3.83,278747,2003.0,en-US
309,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.16,341826,2011.0,en-US
310,"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,3.7,248804,2001.0,en-US
311,The Thorn Birds,Colleen McCullough,4.22,255651,1977.0,eng
312,The Graveyard Book,"Neil Gaiman, Dave McKean",4.12,302303,2008.0,en-US
313,The Light Between Oceans,M.L. Stedman,4.0,243526,2012.0,eng
314,"Inkheart (Inkworld, #1)","Cornelia Funke, Anthea Bell",3.86,285011,2003.0,en-US
315,Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",3.74,237272,1998.0,eng
316,A Walk in the Woods,Bill Bryson,4.05,250192,1997.0,eng
317,I Know Why the Caged Bird Sings,Maya Angelou,4.19,270859,1969.0,en-US
