book_id,title,authors,average_rating,ratings_count,original_publication_year,language_code,tag_string
112,"Me Before You (Me Before You, #1)",Jojo Moyes,4.27,587647,2012.0,eng,science-fiction sci-fi fiction scifi fantasy
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,4.04,615907,1962.0,en-US,to-read science-fiction sci-fi fiction currently-reading
119,The Handmaid's Tale,Margaret Atwood,4.06,607889,1985.0,eng,to-read fantasy currently-reading art tolkien
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",3.52,506900,1995.0,eng,to-read currently-reading fiction favorites historical-fiction
231,Sarah's Key,Tatiana de Rosnay,4.14,312444,2007.0,eng,to-read fiction currently-reading favorites owned
249,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.97,294726,2005.0,en-US,to-read fiction classics favorites owned
250,Wonder,R.J. Palacio,4.43,228538,2012.0,eng,to-read fiction currently-reading classics favorites
264,The Sun Also Rises,Ernest Hemingway,3.83,284988,1926.0,en-US,classics fiction favorites classic owned
275,An Abundance of Katherines,John Green,3.63,312754,2006.0,eng,to-read fiction currently-reading favorites french
291,Cutting for Stone,Abraham Verghese,4.28,258319,2009.0,eng,to-read poetry novels literature classics
295,11/22/63,Stephen King,4.29,258464,2011.0,eng,to-read currently-reading classics fiction adventure
304,I Know This Much Is True,Wally Lamb,4.17,246917,1998.0,eng,classics currently-reading fiction to-read classic
320,"Where'd You Go, Bernadette",Maria Semple,3.9,215453,2012.0,eng,classics to-read owned literature classic
343,The Runaway Jury,John Grisham,3.96,222712,1996.0,eng,to-read currently-reading favorites fiction historical-fiction
348,We Were Liars,E. Lockhart,3.85,273442,2014.0,eng,to-read science-fiction sci-fi fiction time-travel
350,Fear and Loathing in Las Vegas,"Hunter S. Thompson, Ralph Steadman",4.08,232489,1971.0,eng,science-fiction to-read sci-fi currently-reading fiction
353,Othello,William Shakespeare,3.88,238875,1603.0,eng,to-read science-fiction sci-fi currently-reading fiction
355,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.1,281185,2008.0,en-CA,to-read science-fiction sci-fi fiction fantasy
357,All Quiet on the Western Front,"Erich Maria Remarque, A.W. Wheen",3.92,249113,1929.0,en-US,to-read fiction fantasy science-fiction sci-fi
359,And the Mountains Echoed,Khaled Hosseini,4.03,199326,2012.0,eng,to-read science-fiction sci-fi fantasy owned
360,Do Androids Dream of Electric Sheep?,"Philip K. Dick, Roger Zelazny",4.08,223828,1968.0,eng,to-read science-fiction sci-fi fiction humor
365,V for Vendetta,"Alan Moore, David   Lloyd",4.25,210682,1990.0,eng,to-read currently-reading science-fiction fiction sci-fi
378,The Namesake,Jhumpa Lahiri,3.96,184211,2003.0,en-US,to-read favorites fantasy currently-reading fiction
386,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",Scott O'Dell,3.8,236015,1960.0,en-CA,to-read memoir non-fiction nonfiction memoirs
400,Neuromancer,William Gibson,3.88,183878,1984.0,eng,to-read fiction currently-reading historical-fiction favorites
415,"Evermore (The Immortals, #1)",Alyson Noel,3.59,230031,2009.0,en-US,to-read fiction currently-reading science-fiction owned
424,The Name of the Rose,"Umberto Eco, William Weaver, Seán Barrett",4.11,200217,1980.0,en-US,to-read currently-reading nonfiction non-fiction essays
428,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,4.47,277491,2012.0,eng,to-read classics novels 1001-books to-buy
431,"Red Dragon (Hannibal Lecter, #1)",Thomas Harris,4.01,194013,1981.0,eng,to-read fiction favorites mystery currently-reading
432,"I, Robot (Robot #0.1)",Isaac Asimov,4.17,198368,1950.0,eng,to-read fiction currently-reading mystery favorites
446,A Study in Scarlet,Arthur Conan Doyle,4.15,201499,1887.0,eng,to-read fiction currently-reading favorites contemporary
447,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.03,211645,2008.0,eng,currently-reading fiction to-read 1001-books 1001
449,"Betrayed (House of Night, #2)","P.C. Cast, Kristin Cast",3.93,205340,2007.0,en-US,to-read fiction 1001-books favorites 1001
456,A Streetcar Named Desire,Tennessee Williams,3.97,194493,1947.0,eng,to-read fiction currently-reading favorites american
475,"Where She Went (If I Stay, #2)",Gayle Forman,4.06,193141,2011.0,en-US,to-read currently-reading non-fiction history nonfiction
597,Don Quixote,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",3.85,134931,1605.0,eng,to-read non-fiction music currently-reading favorites
599,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",Douglas Adams,4.22,153838,1980.0,eng,to-read currently-reading non-fiction nonfiction essays
621,"Are You There God? It's Me, Margaret",Judy Blume,3.89,151789,1970.0,eng,to-read currently-reading finance non-fiction personal-finance
629,Veronika Decides to Die,"Paulo Coelho, Margaret Jull Costa",3.69,111856,1998.0,eng,to-read currently-reading philosophy fiction non-fiction
647,Baby Proof,Emily Giffin,3.71,124371,2006.0,en-US,to-read non-fiction politics currently-reading nonfiction
656,"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,3.82,150222,2006.0,en-US,to-read currently-reading classics fiction favorites
662,Interpreter of Maladies,Jhumpa Lahiri,4.12,110651,1999.0,eng,to-read fiction classics favorites philosophy
665,"The Passage (The Passage, #1)",Justin Cronin,4.04,126993,2010.0,eng,to-read philosophy currently-reading non-fiction nonfiction
667,Along for the Ride,Sarah Dessen,4.08,151721,2009.0,eng,to-read fiction favorites philosophy dystopia
668,Everything I Never Told You,Celeste Ng,3.78,108703,2014.0,eng,to-read classics philosophy owned literature
676,"Entwined with You (Crossfire, #3)",Sylvia Day,4.19,141641,2013.0,eng,to-read poetry currently-reading favorites owned
698,The Silver Linings Playbook,Matthew Quick,4.0,110939,2008.0,en-US,to-read fiction book-club currently-reading adoption
703,Bag of Bones,Stephen King,3.87,131004,1998.0,en-US,to-read currently-reading fiction historical-fiction alternate-history
706,Around the World in Eighty Days,"Jules Verne, Michael Glencross, Brian W. Aldiss",3.9,117108,1872.0,eng,to-read humor non-fiction politics nonfiction
760,"Ender's Shadow (Ender's Shadow, #1)",Orson Scott Card,4.3,115521,1998.0,eng,to-read fiction currently-reading favorites literature
771,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,3.81,110481,2011.0,eng,science to-read physics nonfiction favorites
816,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,3.85,102936,2009.0,eng,to-read currently-reading fiction science-fiction sci-fi
822,The Sense of an Ending,Julian Barnes,3.7,94968,2011.0,eng,to-read fiction historical-fiction currently-reading science-fiction
823,"A is for Alibi (Kinsey Millhone, #1)",Sue Grafton,3.82,116026,1982.0,en-US,to-read currently-reading fiction historical-fiction science-fiction
825,Shanghai Girls (Shanghai Girls #1),Lisa See,3.87,106729,2009.0,eng,to-read fiction science-fiction currently-reading sci-fi
827,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,4.11,136938,2014.0,eng,to-read science-fiction sci-fi currently-reading fiction
830,The DUFF: Designated Ugly Fat Friend,Kody Keplinger,3.86,136736,2010.0,en-US,to-read currently-reading science-fiction sci-fi fiction
840,"Shōgun (Asian Saga, #1)",James Clavell,4.37,104339,1975.0,eng,to-read currently-reading design non-fiction favorites
865,Night Shift,"Stephen King, John D. MacDonald",3.96,104248,1978.0,en-GB,to-read currently-reading fiction favorites classics
870,Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Suzanne Toren",4.3,102923,2005.0,eng,to-read favorites manga graphic-novels graphic-novel
880,"The Summoning (Darkest Powers, #1)",Kelley Armstrong,4.03,132285,2008.0,en-US,to-read historical-fiction fiction currently-reading historical
890,Second Foundation (Foundation #3),Isaac Asimov,4.23,96865,1953.0,eng,classics to-read fiction favorites classic
900,The Selfish Gene,Richard Dawkins,4.11,96564,1976.0,eng,to-read currently-reading non-fiction psychology nonfiction
902,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael Connelly,4.08,98591,1992.0,eng,to-read mystery favorites currently-reading young-adult
903,Anthem,Ayn Rand,3.62,95620,1938.0,eng,to-read fiction young-adult childrens currently-reading
930,Olive Kitteridge,Elizabeth Strout,3.78,85019,2008.0,eng,to-read favorites fiction historical-fiction currently-reading
952,"Shopaholic & Baby (Shopaholic, #5)",Sophie Kinsella,3.77,98130,2007.0,eng,to-read parenting non-fiction currently-reading christian
960,"The Gathering Storm (Wheel of Time, #12)","Robert Jordan, Brandon Sanderson",4.34,94095,2009.0,eng,to-read fiction mystery favorites thriller
968,Cleopatra: A Life,Stacy Schiff,3.62,73994,2006.0,eng,fiction currently-reading favorites thriller to-read
998,The Monster at the End of this Book,"Jon Stone, Michael J. Smollin",4.45,102184,1971.0,eng,to-read currently-reading non-fiction finance business
1005,White Teeth,Zadie Smith,3.75,82474,1999.0,en-US,to-read personal-development finance currently-reading nonfiction
1032,"Fablehaven (Fablehaven, #1)",Brandon Mull,4.08,99390,2006.0,eng,to-read currently-reading business non-fiction biography
1052,Handle with Care,Jodi Picoult,3.96,90138,2009.0,eng,to-read currently-reading business finance non-fiction
1067,"Four to Score (Stephanie Plum, #4)",Janet Evanovich,4.17,106871,1998.0,en-US,to-read history currently-reading non-fiction nonfiction
1078,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,3.98,75665,2001.0,en-GB,to-read china book-club literature owned
1110,"Maybe Someday (Maybe, #1)",Colleen Hoover,4.33,81707,2014.0,eng,to-read john-grisham thriller mystery currently-reading
1171,The Birth of Venus,Sarah Dunant,3.79,78129,2003.0,en-US,to-read currently-reading business finance non-fiction
1191,"Ringworld (Ringworld, #1)",Larry Niven,3.96,76925,1970.0,eng,to-read cookbooks cooking currently-reading food
1192,Between Shades of Gray,Ruta Sepetys,4.36,87718,2011.0,eng,to-read cookbooks cooking currently-reading food
1202,The Accidental Tourist,"Anne Tyler, Jennifer Bassett",3.9,80075,1985.0,eng,to-read nonfiction science currently-reading non-fiction
1232,"Hard Eight (Stephanie Plum, #8)","Janet Evanovich, Lorelei King",4.17,93057,2002.0,en-US,to-read currently-reading favorites fiction historical-fiction
1241,Killing Lincoln: The Shocking Assassination that Changed America Forever,"Bill O'Reilly, Martin Dugard",4.02,71868,2011.0,eng,to-read non-fiction currently-reading biography book-club
1274,The Night Before Christmas,"Clement C. Moore, Jan Brett",4.36,81553,1986.0,en-US,to-read currently-reading non-fiction self-help psychology
1295,"Never Too Far (Rosemary Beach, #2; Too Far, #2)",Abbi Glines,4.21,97616,2013.0,eng,to-read currently-reading historical-fiction owned series
1301,The Broker,John Grisham,3.77,65428,2005.0,eng,to-read currently-reading non-fiction sports nonfiction
1303,"The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth",M. Scott Peck,4.03,61238,1978.0,en-US,to-read currently-reading non-fiction business psychology
1305,"The Boxcar Children (The Boxcar Children, #1)","Gertrude Chandler Warner, L. Kate Deal",4.09,92916,1942.0,en-US,to-read currently-reading fiction historical-fiction history
1307,How to Be a Woman,Caitlin Moran,3.73,70446,2011.0,eng,to-read fantasy owned default fiction
1319,"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy,3.97,68451,1992.0,eng,to-read currently-reading writing self-help nonfiction
1362,"Winter's Heart (Wheel of Time, #9)",Robert Jordan,3.92,71355,2000.0,en-US,to-read history classics non-fiction currently-reading
1371,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,4.1,61496,2007.0,en-US,to-read classics currently-reading poetry fiction
1375,Me and Earl and the Dying Girl,Jesse Andrews,3.58,82270,2012.0,en-US,classics fiction poetry favorites classic
1381,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,3.92,85683,2001.0,en-US,to-read classics currently-reading fiction poetry
1420,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,4.15,64391,1960.0,eng,to-read currently-reading classics plays favorites
1427,Heart-Shaped Box,Joe Hill,3.82,65005,2007.0,en-US,to-read currently-reading favorites fiction philosophy
1428,"Cabin Fever (Diary of a Wimpy Kid, #6)",Jeff Kinney,4.21,63347,2010.0,eng,to-read currently-reading fiction favorites paulo-coelho
1430,Everyone Worth Knowing,Lauren Weisberger,3.39,59932,2005.0,en-US,to-read currently-reading fiction favorites paulo-coelho
1431,"Redwall (Redwall, #1)",Brian Jacques,4.11,73918,1986.0,eng,to-read owned novels novel currently-reading
1519,"The Diamond Age: or, A Young Lady's Illustrated Primer",Neal Stephenson,4.19,61836,1995.0,eng,to-read classics plays drama currently-reading
1524,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,3.99,80737,2016.0,eng,to-read classics plays drama fiction
1540,"Masquerade (Blue Bloods, #2)",Melissa de la Cruz,3.91,76598,2007.0,en-US,classics plays currently-reading drama fiction
1554,"Ptolemy's Gate (Bartimaeus, #3)",Jonathan Stroud,4.24,63838,2006.0,eng,drama fiction school to-read play
1617,"Without Fail (Jack Reacher, #6)","Lee Child, Dick Hill",4.16,53411,2002.0,eng,to-read non-fiction currently-reading favorites classics
1618,"A Voice in the Wind (Mark of the Lion, #1)","Francine Rivers, Richard Ferrone",4.6,55556,1993.0,en-US,to-read currently-reading fiction favorites young-adult
1622,A Connecticut Yankee in King Arthur's Court,Mark Twain,3.76,50112,1889.0,eng,to-read classics currently-reading plays favorites
1624,Nausea,"Jean-Paul Sartre, Lloyd Alexander, Hayden Carruth",3.91,50876,1938.0,eng,to-read currently-reading non-fiction memoir biography
1625,Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,3.93,50215,2001.0,eng,to-read classics plays currently-reading shakespeare
1627,"Twelve Sharp (Stephanie Plum, #12)",Janet Evanovich,4.14,74747,2006.0,eng,to-read fiction short-stories romance lgbt
1633,"Memnoch the Devil (The Vampire Chronicles, #5)",Anne Rice,3.73,62641,1995.0,eng,to-read currently-reading owned leadership non-fiction
1635,"Click, Clack, Moo: Cows That Type","Doreen Cronin, Betsy Lewin",4.23,67171,1999.0,eng,to-read business currently-reading leadership management
1715,Let the Right One In,John Ajvide Lindqvist,4.07,52518,2004.0,eng,poetry mythology favorites fiction to-read
1823,"A Bear Called Paddington (Paddington, #1)","Michael Bond, Peggy Fortnum",4.21,62590,1958.0,eng,to-read non-fiction currently-reading nonfiction politics
1824,"Flawless (Pretty Little Liars, #2)",Sara Shepard,3.96,59403,2007.0,en-US,to-read non-fiction nonfiction history currently-reading
1842,Perfect Match,Jodi Picoult,3.93,52168,2002.0,eng,to-read currently-reading history non-fiction nonfiction
1845,Alias Grace,"Margaret Atwood, Brigitte Walitzek",3.97,51511,1996.0,ger,to-read non-fiction currently-reading favorites nonfiction
1846,"Captivated by You (Crossfire, #4)",Sylvia Day,4.06,57831,2014.0,eng,to-read currently-reading christian non-fiction favorites
1848,"Soulless (Parasol Protectorate, #1)",Gail Carriger,3.91,73051,2009.0,eng,to-read currently-reading biography favorites non-fiction
1849,"Just One Day (Just One Day, #1)",Gayle Forman,4.02,47674,2013.0,eng,to-read fiction currently-reading nelson-demille mystery
1852,"Glass (Crank, #2)",Ellen Hopkins,4.28,51726,2007.0,eng,currently-reading classics fiction favorites classic
1869,"Dealing with Dragons (Enchanted Forest Chronicles, #1)","Patricia C. Wrede, Peter de Sève",4.14,67663,1990.0,en-US,to-read favorites non-fiction nonfiction sociology
1875,A Bad Case of Stripes,David Shannon,4.24,51764,1998.0,eng,to-read non-fiction theory nonfiction currently-reading
1885,As You Like It,William Shakespeare,3.83,56395,1599.0,eng,classics favorites fiction romance classic
1897,The Lost Boy (Dave Pelzer #2),Dave Pelzer,4.08,46847,1997.0,eng,to-read non-fiction currently-reading adventure mountaineering
1898,"Dust (Silo, #3)",Hugh Howey,4.26,33132,2013.0,eng,to-read non-fiction currently-reading favorites nonfiction
1911,"Faithful Place (Dublin Murder Squad, #3)",Tana French,3.97,55355,2010.0,eng,to-read currently-reading non-fiction history business
1934,"Heat Wave (Nikki Heat, #1)",Richard Castle,3.54,49283,2008.0,en-US,to-read currently-reading classics favorites fiction
1953,"The Man in the Iron Mask (The D'Artagnan Romances, #3.3)","Alexandre Dumas, Francine du Plessix Gray, Joachim Neugroschel",3.97,51856,1850.0,eng,to-read currently-reading classics fiction favorites
1990,The Art of Hearing Heartbeats,"Jan-Philipp Sendker, Kevin Wiliarty",3.98,41647,2002.0,eng,classics fiction to-read dickens classic
2002,The Death of Ivan Ilych,"Leo Tolstoy, Aylmer Maude",4.04,46357,1886.0,eng,to-read fantasy harry-potter fiction books-i-own
2050,"Night World, No. 2 (Night World, #4-6)",L.J. Smith,4.2,53023,2008.0,en-CA,to-read mystery currently-reading noir favorites
2052,"The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)","Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald",3.96,42175,-401.0,en-US,noir to-read favorites 1001-books classic
2054,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",Ann Brashares,3.82,56485,2005.0,eng,to-read mystery fiction currently-reading crime
2067,The House Girl,Tara Conklin,3.75,41671,2013.0,eng,to-read philosophy religion non-fiction science
2094,"Smokin' Seventeen (Stephanie Plum, #17)","Janet Evanovich, Lorelei King",3.94,41932,2011.0,eng,to-read non-fiction currently-reading nonfiction science
2095,The Sneetches and Other Stories,Dr. Seuss,4.31,52954,1961.0,en-US,to-read physics science non-fiction nonfiction
2122,Cut,Patricia McCormick,3.76,48239,2000.0,en-US,to-read currently-reading fiction classics favorites
2137,The Children Act,Ian McEwan,3.68,33100,2014.0,eng,to-read fiction favorites lgbt 1001-books
2142,The Iliad/The Odyssey,"Homer, Robert Fagles, Bernard Knox",4.03,47825,-762.0,eng,to-read currently-reading christian-fiction suspense fiction
2152,"Perfect (Pretty Little Liars, #3)",Sara Shepard,4.02,50922,2007.0,eng,to-read fiction chick-lit currently-reading books-i-own
2156,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,3.84,46121,1993.0,en-US,to-read classics currently-reading favorites fiction
2159,"Sea Swept (Chesapeake Bay Saga, #1)",Nora Roberts,4.24,48078,1998.0,en-US,to-read non-fiction economics politics currently-reading
2175,Alexander Hamilton,Ron Chernow,4.26,46198,2004.0,eng,to-read currently-reading classics fiction favorites
2183,"Love Unscripted (Love, #1)",Tina Reber,4.04,59261,2010.0,en-US,to-read fiction france 19th-century classic
2187,We,"Yevgeny Zamyatin, Clarence Brown",3.95,40020,1924.0,eng,to-read currently-reading fiction favorites book-club
2199,The Lottery and Other Stories,Shirley Jackson,4.06,48608,1949.0,en-US,to-read currently-reading history non-fiction biography
2203,The Odessa File,Frederick Forsyth,4.1,42529,1972.0,en-US,to-read currently-reading history biography non-fiction
2255,An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,4.03,41102,1995.0,eng,to-read currently-reading favorites spirituality fiction
2265,"Lies (Gone, #3)",Michael  Grant,4.09,48506,2010.0,en-US,to-read cycling autobiography sports favorites
2279,Neither Here nor There: Travels in Europe,Bill Bryson,3.88,42170,1991.0,en-US,to-read currently-reading history biography presidents
2368,Gap Creek,Robert Morgan,3.71,42122,1999.0,en-US,to-read biography currently-reading history non-fiction
2371,"Bitter Is the New Black: Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office",Jen Lancaster,3.9,41884,2006.0,eng,to-read history nonfiction non-fiction currently-reading
2373,"Blindsighted (Grant County, #1)",Karin Slaughter,4.1,41857,2001.0,eng,to-read mystery currently-reading thriller crime
2430,"Grave Sight (Harper Connelly, #1)",Charlaine Harris,3.85,52215,2005.0,eng,to-read fiction mystery currently-reading steve-martini
2493,"Captain's Fury (Codex Alera, #4)",Jim Butcher,4.38,42769,2007.0,eng,to-read currently-reading classics science-fiction sci-fi
2517,The Spy Who Came In from the Cold,John le Carré,4.05,37557,1963.0,eng,to-read currently-reading fiction historical-fiction favorites
2526,"All-Star Superman, Vol. 1","Grant Morrison, Frank Quitely",4.06,35061,2007.0,eng,to-read currently-reading fiction favorites dystopia
2528,"Dark Witch (The Cousins O'Dwyer Trilogy, #1)",Nora Roberts,3.91,33481,2013.0,eng,to-read currently-reading fiction favorites owned
2530,The Widow,Fiona Barton,3.49,36504,2016.0,eng,to-read favorites fiction historical-fiction portuguese
2547,"Violets Are Blue (Alex Cross, #7)",James Patterson,3.94,41555,2001.0,eng,to-read poetry favorites philosophy classics
2612,"A Suitable Boy (A Suitable Boy, #1)",Vikram Seth,4.1,33973,1993.0,en-US,to-read currently-reading non-fiction nonfiction business
2615,I Like You: Hospitality Under the Influence,Amy Sedaris,3.87,34212,2006.0,eng,to-read currently-reading business non-fiction innovation
2623,"Wild Magic (Immortals, #1)",Tamora Pierce,4.32,52165,1992.0,en-US,to-read currently-reading classics fiction favorites
2657,False Memory,Dean Koontz,3.87,36882,1999.0,en-US,classics favorites to-read classic historical-fiction
2666,"Executive Orders (Jack Ryan Universe, #9)",Tom Clancy,4.04,35513,1996.0,eng,to-read fiction favorites classics 1001-books
2677,"Thief of Time (Discworld, #26; Death, #5)",Terry Pratchett,4.25,42002,2001.0,eng,to-read fiction humor satire classic
2696,Put Me in the Zoo,Robert Lopshire,4.13,38809,1960.0,eng,poetry to-read classic favorites school
2715,"Night Star (The Immortals, #5)",Alyson Noel,3.82,43998,2010.0,eng,history non-fiction to-read nonfiction food
2743,Nimona,Noelle Stevenson,4.2,44825,2015.0,eng,to-read currently-reading non-fiction biography memoir
2748,"Grounded (Up in the Air, #3)",R.K. Lilley,4.29,53089,2013.0,en-GB,to-read favorites fiction humor owned
2767,"Saga, Vol. 3 (Saga, #3)","Brian K. Vaughan, Fiona Staples",4.56,47549,2014.0,eng,to-read currently-reading history non-fiction nonfiction
2784,Decision Points,George W. Bush,3.77,28943,2010.0,eng,to-read currently-reading non-fiction philosophy favorites
2794,The Four Loves,C.S. Lewis,4.16,29684,1960.0,en-US,to-read fiction favorites classics currently-reading
2839,War Brides,Helen Bryan,3.75,16565,2007.0,en-CA,to-read favorites young-adult fiction childrens
2865,"The Gashlycrumb Tinies (The Vinegar Works, #1)",Edward Gorey,4.23,37054,1963.0,eng,to-read historical-fiction fiction favorites historical
2872,"Necessary Lies (Necessary Lies, #1)",Diane Chamberlain,4.21,32761,2013.0,eng,to-read historical-fiction historical currently-reading favorites
2873,Lucifer's Hammer,"Larry Niven, Jerry Pournelle",3.98,33228,1977.0,en-US,to-read historical-fiction fiction historical favorites
2880,"Divergent Series Complete Box Set (Divergent, #1-3)",Veronica Roth,4.32,19325,2013.0,en-US,to-read manga currently-reading fantasy favorites
2915,Bird Box,Josh Malerman,3.98,31735,2014.0,eng,to-read currently-reading young-adult fiction adventure
2932,"The Diviners (The Diviners, #1)",Libba Bray,3.96,44513,2012.0,en-US,to-read classics currently-reading fiction classic
2956,Vampire Academy: The Ultimate Guide (Vampire Academy),"Michelle Rowen, Richelle Mead",4.45,32818,2011.0,eng,currently-reading classics fiction classic favorites
2978,The Emperor's Soul,Brandon Sanderson,4.33,33634,2012.0,eng,currently-reading to-read classic books-i-own literature
2998,"Magic Bleeds (Kate Daniels, #4)",Ilona Andrews,4.46,50637,2010.0,eng,to-read classics currently-reading favorites fiction
3008,Twenty Boy Summer,Sarah Ockler,3.89,35435,2009.0,en-US,to-read currently-reading classics favorites fiction
3028,Sarum: The Novel of England,Edward Rutherfurd,4.07,28292,1987.0,eng,to-read currently-reading economics non-fiction politics
3049,The Teachings of Don Juan: A Yaqui Way of Knowledge ,Carlos Castaneda,3.94,27784,1968.0,en-US,to-read classics poetry fantasy fiction
3061,The Problem of Pain,C.S. Lewis,4.12,29179,1940.0,eng,to-read currently-reading art drawing non-fiction
3087,"The Bone Season (The Bone Season, #1)",Samantha Shannon,3.75,27652,2013.0,eng,to-read classics fiction favorites romance
3102,The Weight of Silence,Heather Gudenkauf,3.93,33235,2008.0,eng,to-read fiction favorites literature 1001-books
3103,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,3.92,29215,2015.0,eng,to-read classics fiction lgbt favorites
3109,Master and Commander,Patrick O'Brian,4.1,31215,1969.0,eng,to-read currently-reading non-fiction food nonfiction
3110,"Dragon Ball, Vol. 1: The Monkey King (Dragon Ball, #1)",Akira Toriyama,4.42,27382,1985.0,eng,to-read nonfiction non-fiction history favorites
